,h,T,M,Lambda_lhs,s
102,-8283.956961,19858067.68,455000,1.52E-05,0.000351777
103,-29769.42986,26084306.47,454000,1.50E-05,0.000457107
104,-8808.277669,13425505.6,457000,1.55E-05,0.000243051
105,-14578.55767,11441149.64,457000,1.56E-05,0.000209518
106,-11085.01572,37841747.53,458000,1.58E-05,0.000657186
107,-12826.14065,20188337.86,459000,1.59E-05,0.000358075
108,-6698.896099,17035012.5,461000,1.62E-05,0.000304929
109,-7645.787263,40797771.91,461000,1.63E-05,0.000707788
110,-26071.35571,37910614.61,461000,1.62E-05,0.000658753
111,-11559.70416,28941292.19,463000,1.66E-05,0.00050713
112,-2338.622743,10062507.97,465000,1.69E-05,0.000187451
113,-25148.10321,4391556.372,464000,1.66E-05,9.10E-05
114,-16611.86241,8498368.206,466000,1.70E-05,0.00016104
115,-24726.95889,14927258.44,466000,1.70E-05,0.000270004
116,-5448.556408,33996457.99,469000,1.75E-05,0.000593711
117,-1956.708804,18659259.15,470000,1.77E-05,0.000333959
118,-26649.04673,44767878.38,468000,1.74E-05,0.000776178
119,-14195.28093,7290238.903,471000,1.78E-05,0.000141363
120,-26129.58949,46455709.77,470000,1.78E-05,0.000805185
121,-12152.51117,36433022.07,473000,1.82E-05,0.000635709
122,-3927.458342,1787606.527,474000,1.85E-05,4.88E-05
123,-19642.20335,934528.9222,474000,1.84E-05,3.42E-05
124,-21801.98588,21429660.98,474000,1.85E-05,0.000381715
125,-25948.45935,32212097.77,475000,1.86E-05,0.000564568
126,-30551.07556,4578723.092,475000,1.86E-05,9.62E-05
127,-137.8131649,9608242.212,479000,1.94E-05,0.000182252
128,-5904.808911,36117936.28,480000,1.94E-05,0.000631568
129,-6046.134168,32424857.97,481000,1.96E-05,0.000569174
130,-3566.29634,22162107.36,482000,1.98E-05,0.000395429
131,-2676.56819,25932249.33,483000,2.00E-05,0.00045953
132,-4056.336395,6898547.092,484000,2.01E-05,0.000137025
133,-3682.598276,25612834.09,485000,2.03E-05,0.000454416
134,-31457.80057,7825051.788,483000,1.99E-05,0.000152528
135,-21578.75239,16212836.4,485000,2.03E-05,0.000295094
136,-7997.40669,27150617.96,488000,2.07E-05,0.00048088
137,-4531.064409,35599596.89,489000,2.09E-05,0.000624283
138,-19322.9712,1287713.097,488000,2.08E-05,4.26E-05
139,-25554.9327,12695241.68,489000,2.08E-05,0.000235974
140,-22399.16839,22360945.7,490000,2.11E-05,0.000400099
141,-27055.16829,44631040.38,490000,2.11E-05,0.000777558
142,-26650.64163,33721114.43,491000,2.13E-05,0.000592844
143,-12219.1666,19906897.39,494000,2.18E-05,0.000359205
144,-460.332073,6453252.091,496000,2.21E-05,0.000131477
145,-23738.66444,5634259.436,494000,2.19E-05,0.000117396
146,-8777.346357,833897.2421,497000,2.23E-05,3.64E-05
147,-20143.04654,28864181.67,497000,2.23E-05,0.000511523
148,-5092.655447,1446506.406,499000,2.27E-05,4.72E-05
149,-29863.14686,24588992.6,497000,2.24E-05,0.000439163
150,-19720.45755,16372185.72,500000,2.28E-05,0.000300295
151,-5795.917745,10611101.85,502000,2.32E-05,0.000203049
152,-23367.55589,25315922.45,502000,2.30E-05,0.000452083
153,-13054.34108,24145899.61,504000,2.34E-05,0.000432653
154,-10480.48072,2114488.875,505000,2.36E-05,5.94E-05
155,-3794.650892,45826041.79,506000,2.39E-05,0.000800613
156,-21866.6686,16808810.78,505000,2.37E-05,0.000308595
157,-14034.55471,15308326.94,507000,2.40E-05,0.000283463
158,-12127.88198,13708422.64,508000,2.42E-05,0.000256546
159,-23336.11141,7806296.433,508000,2.42E-05,0.00015651
160,-24513.31175,37047114.21,509000,2.43E-05,0.000652217
161,-30200.38675,11922357.4,509000,2.44E-05,0.000226474
162,-17627.25614,23875317.58,512000,2.48E-05,0.000429466
163,-20114.93969,27786742.78,512000,2.49E-05,0.000495862
164,-31601.1774,8984957.44,512000,2.49E-05,0.000177187
165,-25189.11439,25513930.18,514000,2.52E-05,0.000457639
166,-26861.45757,14473234.79,515000,2.54E-05,0.000270709
167,-6270.497711,411889.6506,518000,2.60E-05,3.30E-05
168,-19904.28848,28151803.22,517000,2.59E-05,0.000503049
169,-23464.18999,14506877.87,518000,2.60E-05,0.000271879
170,-23197.96175,39763697.85,519000,2.61E-05,0.000700061
171,-21061.40267,33144562.45,520000,2.64E-05,0.000588172
172,-7285.271561,16620496.68,523000,2.68E-05,0.000308503
173,-14934.22221,20525262.94,523000,2.68E-05,0.000374686
174,-10367.51778,15742425.22,524000,2.71E-05,0.000293921
175,-12779.87349,41466139.8,525000,2.72E-05,0.000730016
176,-20635.37058,30771334.97,525000,2.72E-05,0.000548748
177,-23564.4283,1219805.225,526000,2.73E-05,4.80E-05
178,-28731.49601,7530666.943,526000,2.74E-05,0.000155038
179,-21819.70007,14520647.61,528000,2.77E-05,0.000273813
180,-3999.99312,35286708.83,531000,2.82E-05,0.00062628
181,-19051.3875,38991763.3,530000,2.81E-05,0.000688977
182,-2165.944264,6141454.449,533000,2.86E-05,0.000132692
183,-2471.588813,24886134.51,534000,2.88E-05,0.000450599
184,-20227.63755,22772711.23,533000,2.86E-05,0.000414578
185,-31303.3326,43614868.53,533000,2.85E-05,0.000767735
186,-10518.73601,9540876.713,536000,2.91E-05,0.00019081
187,-27318.43608,3138219.287,535000,2.90E-05,8.22E-05
188,-26010.58255,42658519.2,537000,2.92E-05,0.000752226
189,-17862.85876,46187200.16,539000,2.95E-05,0.000812334
190,-5939.022474,15356538.8,541000,2.99E-05,0.00029018
191,-2718.280963,27061953.84,542000,3.01E-05,0.000488777
192,-25138.39174,24686611.94,541000,2.99E-05,0.000448317
193,-18608.21003,10074830.49,542000,3.02E-05,0.00020096
194,-6971.398395,15954254.13,545000,3.05E-05,0.000300911
195,-12908.78404,32460821.57,545000,3.06E-05,0.000580783
196,-19846.20304,23176271.47,545000,3.06E-05,0.000423418
197,-27001.47137,22598877.67,545000,3.07E-05,0.000413732
198,-12328.26162,7025328.339,548000,3.11E-05,0.000150173
199,-17064.88815,26737268.28,549000,3.12E-05,0.000484374
200,-1503.386843,27737312.15,551000,3.17E-05,0.000501824
201,-8013.703386,36360234.77,552000,3.17E-05,0.000647975
202,-12048.59334,19038239.95,552000,3.18E-05,0.000354482
203,-16492.50103,36841897.23,553000,3.19E-05,0.000656339
204,-1174.814489,16001568.12,556000,3.24E-05,0.000303613
205,-31718.93837,16956878.89,553000,3.20E-05,0.000319405
206,-11768.81201,2146514.639,556000,3.25E-05,6.89E-05
207,-5496.46029,12346123.96,558000,3.28E-05,0.000242056
208,-21123.88606,43825987.08,557000,3.27E-05,0.000775513
209,-8080.690512,46359239.81,560000,3.31E-05,0.00081885
210,-5942.208657,36489523.64,561000,3.33E-05,0.000651767
211,-26956.84933,30076178.11,560000,3.31E-05,0.000542866
212,-19590.52456,13365725.42,562000,3.34E-05,0.000259938
213,-19831.5112,27963140.66,563000,3.36E-05,0.000507552
214,-25388.0914,13623410.7,563000,3.37E-05,0.000264605
215,-19100.86849,1185954.032,565000,3.40E-05,5.41E-05
216,-5896.287498,36722521.38,567000,3.44E-05,0.000656816
217,-10827.21153,26142371.58,568000,3.45E-05,0.000477591
218,-10810.32951,32379737.34,569000,3.46E-05,0.000583409
219,-25418.60418,575629.5355,568000,3.45E-05,4.43E-05
220,-5378.639376,45460325.74,571000,3.51E-05,0.000805614
221,-18620.67986,28166180.83,571000,3.50E-05,0.000512393
222,-12107.84801,44445848.8,572000,3.53E-05,0.000788619
223,-16777.50843,22349038.93,573000,3.54E-05,0.000414197
224,-22684.92635,9247752.095,574000,3.55E-05,0.000192242
225,-10381.27873,25911519.55,576000,3.59E-05,0.000475078
226,-30065.84127,20951011.77,575000,3.57E-05,0.000390802
227,-10599.46785,15556698.52,578000,3.62E-05,0.000299873
228,-22044.89113,9572901.871,578000,3.62E-05,0.000198453
229,-19406.68574,36811274.91,579000,3.64E-05,0.00066032
230,-23657.83406,36326822.58,579000,3.65E-05,0.000652209
231,-12684.87931,12653721.2,582000,3.69E-05,0.00025137
232,-12835.4952,14146062.71,583000,3.71E-05,0.000276864
233,-19558.77333,46780769.52,583000,3.71E-05,0.000829994
234,-20168.40864,32225487.44,584000,3.73E-05,0.000583495
235,-30329.4919,19949360.07,584000,3.72E-05,0.000375325
236,-16160.43277,5972367.999,587000,3.77E-05,0.000138927
237,-29619.01987,38186088.97,586000,3.76E-05,0.000684822
238,-1113.783875,4624559.23,590000,3.84E-05,0.000116782
239,-21322.07694,26023774.77,589000,3.81E-05,0.000479181
240,-21314.91062,13521086.75,590000,3.83E-05,0.000267471
241,-14758.38309,19203250.9,592000,3.86E-05,0.000364079
242,-9076.704516,46081287.96,593000,3.89E-05,0.000819939
243,-25809.0992,9279487.656,593000,3.87E-05,0.000195979
244,-6897.766698,10290975.22,596000,3.93E-05,0.000213723
245,-9127.013415,9490128.288,596000,3.94E-05,0.00020025
246,-19491.30712,27923598.92,596000,3.94E-05,0.000512681
247,-23395.69669,26949788.16,597000,3.95E-05,0.000496276
248,-24226.222,18002455.15,598000,3.97E-05,0.000344826
249,-29030.13417,3744118.008,598000,3.97E-05,0.00010316
250,-11243.58314,3931169.227,602000,4.03E-05,0.00010693
251,-13593.4851,3916041.931,602000,4.04E-05,0.000106774
252,-23625.14082,26047766.64,602000,4.04E-05,0.000481888
253,-28743.27381,22756218.09,603000,4.05E-05,0.000426199
254,-4777.573661,10864396.64,606000,4.11E-05,0.000225242
255,-7357.203381,44041377.05,607000,4.13E-05,0.000787764
256,-21036.20379,46332043.52,607000,4.12E-05,0.000826489
257,-14437.32466,26209493.88,608000,4.15E-05,0.000485729
258,-5225.339934,2262616.542,611000,4.18E-05,8.01E-05
259,-25797.72675,45353428.41,609000,4.16E-05,0.000810302
260,-10280.09159,29606276.04,612000,4.22E-05,0.000544001
261,-30835.91377,41657198.63,611000,4.19E-05,0.000747954
262,-31823.41227,25264007.6,612000,4.21E-05,0.000470304
263,-18372.67788,11449561.2,614000,4.26E-05,0.00023666
264,-31174.5329,43878595.42,614000,4.25E-05,0.000786205
265,-27731.79062,36074879.61,615000,4.27E-05,0.000654139
266,-7509.601292,25480489.47,618000,4.33E-05,0.000475173
267,-16429.34809,39575938.06,618000,4.33E-05,0.000714079
268,-10156.99428,8057481.637,620000,4.36E-05,0.000180167
269,-28776.89215,34107174.99,619000,4.34E-05,0.000621488
270,-23072.98749,13969044.33,621000,4.37E-05,0.000280463
271,-12880.04161,43076122.58,623000,4.41E-05,0.000774204
272,-7031.525625,2498035.846,625000,4.44E-05,8.67E-05
273,-8568.69262,14363632.36,626000,4.46E-05,0.000288051
274,-6518.741742,45651053.87,627000,4.48E-05,0.000818547
275,-28440.73693,14422192.72,625000,4.45E-05,0.000288944
276,-9699.421625,12742854.69,629000,4.51E-05,0.000261081
277,-12710.76203,41536961.33,629000,4.52E-05,0.000749216
278,-30957.37182,30446334.29,629000,4.50E-05,0.00056104
279,-26084.26167,43273036.87,630000,4.53E-05,0.000778741
280,-11899.5731,5991378.08,632000,4.57E-05,0.000147249
281,-22778.92624,22783460.61,632000,4.57E-05,0.00043186
282,-15145.38766,13123589.05,635000,4.60E-05,0.000268434
283,-25656.41623,7968128.777,635000,4.60E-05,0.000181053
284,-5565.411183,4503052.931,638000,4.66E-05,0.000122923
285,-3558.471314,35310979.42,639000,4.68E-05,0.000645291
286,-20440.55565,97738.67585,638000,4.67E-05,4.84E-05
287,-16632.84565,35673663.75,640000,4.69E-05,0.000651538
288,-29210.53657,42614942.41,639000,4.68E-05,0.000769087
289,-4387.21964,4052765.735,643000,4.75E-05,0.000116191
290,-6406.265192,45682981.6,644000,4.77E-05,0.000821988
291,-14104.44669,41590873.71,644000,4.77E-05,0.00075263
292,-30688.43861,35694427.78,643000,4.75E-05,0.00065249
293,-1552.170224,26592154,648000,4.83E-05,0.000499014
294,-21663.59013,25433984.27,646000,4.81E-05,0.000479184
295,-22997.22288,34580843.78,647000,4.82E-05,0.000634316
296,-19902.96784,22920715.38,649000,4.85E-05,0.000436987
297,-4537.814692,16867805.54,651000,4.90E-05,0.000334895
298,-1185.38705,9938439.973,653000,4.92E-05,0.000217648
299,-9870.879014,30930850.81,653000,4.92E-05,0.000573452
300,-27569.97793,34124627.95,652000,4.90E-05,0.000627384
301,-14102.00983,3004649.218,655000,4.95E-05,0.000100426
302,-28208.64801,25895480.66,654000,4.94E-05,0.000488306
303,-18641.24639,20192613.39,656000,4.98E-05,0.000392048
304,-1106.03929,11862817.83,659000,5.03E-05,0.000251365
305,-6151.875713,25712389.76,660000,5.04E-05,0.000486203
306,-9896.907978,12083375.42,660000,5.05E-05,0.000255303
307,-14205.55259,42906067.57,661000,5.06E-05,0.000777821
308,-18652.68011,40914340.59,661000,5.07E-05,0.000744163
309,-20273.19757,3881507.01,662000,5.08E-05,0.000116588
310,-10456.57043,44385267.74,664000,5.12E-05,0.000803493
311,-30885.33666,19258810.29,663000,5.10E-05,0.000377421
312,-31672.3185,38146036.03,664000,5.11E-05,0.000697643
