,h,T,M,Lambda_lhs,s
1189,-24235.09469,23411812.78,1330000,0.0001683,0.00056511
1190,-17044.7098,42343792.67,1330000,0.0001684,0.000886091
1191,-21050.05321,30079471.53,1330000,0.0001684,0.000678222
1192,-24000.6468,35419328.28,1330000,0.0001685,0.000768828
1193,-26457.25087,4351798.935,1330000,0.0001685,0.000242259
1194,-26116.24844,14070401.94,1330000,0.0001686,0.000407081
1195,-1606.874648,46021634,1330000,0.0001688,0.000948828
1196,-7424.442586,12806826.52,1330000,0.0001688,0.000385865
1197,-8477.91778,43170620.66,1330000,0.0001689,0.000900605
1198,-2135.959572,8012774.288,1330000,0.000169,0.00030481
1199,-22167.70493,5258998.974,1330000,0.0001689,0.000258036
1200,-12647.54448,27116820.98,1330000,0.000169,0.000628607
1201,-16440.33089,17178745.64,1330000,0.000169,0.000460165
1202,-2310.768089,8616010.635,1340000,0.0001692,0.000315234
1203,-30339.0018,14038962.29,1330000,0.0001691,0.000407049
1204,-21505.98302,40801115.96,1340000,0.0001692,0.000860744
1205,-23135.19327,19487896.54,1340000,0.0001692,0.000499503
1206,-10291.84232,17898375.55,1340000,0.0001694,0.000472762
1207,-4229.204914,18835122.87,1340000,0.0001695,0.000488739
1208,-20180.07604,18637682.39,1340000,0.0001694,0.000485293
1209,-19221.1363,38424606.24,1340000,0.0001695,0.000820765
1210,-13713.29308,25345969.44,1340000,0.0001696,0.000599193
1211,-28813.87888,22242187.55,1340000,0.0001695,0.000546486
1212,-21118.37782,15107063.83,1340000,0.0001696,0.000425652
1213,-28879.71851,30530610.76,1340000,0.0001696,0.000687068
1214,-23684.43392,19249391.02,1340000,0.0001697,0.000495961
1215,-16751.13798,20068595.49,1340000,0.0001698,0.000509946
1216,-528.1012127,18697742.4,1340000,0.00017,0.000486911
1217,-4500.078908,38264735.15,1340000,0.00017,0.000818555
1218,-25691.35219,28722780.06,1340000,0.0001699,0.000656727
1219,-28075.61266,44412962.58,1340000,0.00017,0.000922762
1220,-22930.08132,31081279,1340000,0.0001701,0.000696901
1221,-18200.48761,8819601.504,1340000,0.0001701,0.000319585
1222,-30386.39545,17474604.8,1340000,0.0001701,0.00046628
1223,-15107.59202,42747340.28,1340000,0.0001703,0.000894831
1224,-10524.72382,1803711.258,1340000,0.0001703,0.000200871
1225,-17773.01834,35860631.33,1340000,0.0001704,0.000778207
1226,-4657.331822,44183399.46,1340000,0.0001705,0.000919371
1227,-11933.48893,122398.5871,1340000,0.0001705,0.000172575
1228,-21838.96664,15146750.67,1340000,0.0001705,0.000427225
1229,-4186.710846,42698016.15,1340000,0.0001707,0.000894395
1230,-26748.43035,24996600.9,1340000,0.0001706,0.000594271
1231,-28560.3762,20102608.55,1340000,0.0001706,0.000511322
1232,-22874.81178,7128602.305,1340000,0.0001707,0.000291524
1233,-8931.901915,40329310.69,1340000,0.0001708,0.000854348
1234,-3220.926824,24270274.76,1340000,0.0001709,0.000582261
1235,-9391.774137,9987431.709,1340000,0.0001709,0.000340179
1236,-12388.59635,15333091.62,1350000,0.000171,0.000430883
1237,-25464.57443,17837171.71,1350000,0.0001709,0.000473225
1238,-9236.374574,39563514.33,1350000,0.0001711,0.000841668
1239,-13988.75777,12921532.56,1350000,0.0001711,0.000390109
1240,-7362.79288,29727466.37,1350000,0.0001712,0.000675055
1241,-13808.92392,21203414.82,1350000,0.0001712,0.00053058
1242,-30751.54041,33929601.5,1350000,0.0001712,0.000746278
1243,-21332.07124,14524960.05,1350000,0.0001713,0.000417486
1244,-27260.97371,24130825.84,1350000,0.0001713,0.000580297
1245,-21877.03049,17981903.35,1350000,0.0001714,0.000476178
1246,-8033.041889,45853726.69,1350000,0.0001715,0.000948682
1247,-26200.22629,2895325.77,1350000,0.0001715,0.000220573
1248,-638.8888238,26987000.01,1350000,0.0001717,0.000629107
1249,-14277.73872,2181784.592,1350000,0.0001716,0.000208579
1250,-14498.87607,23766980.08,1350000,0.0001717,0.00057453
1251,-18248.68783,12906840.08,1350000,0.0001717,0.00039046
1252,-20942.52045,31116348.01,1350000,0.0001717,0.000699096
1253,-17024.25554,2108216.367,1350000,0.0001718,0.000207532
1254,-27705.88262,28817870.56,1350000,0.0001718,0.000660238
1255,-18110.08632,35042485.45,1350000,0.0001719,0.00076584
1256,-21922.2133,4784559.59,1350000,0.0001719,0.000252994
1257,-4729.317278,7628858.283,1350000,0.0001721,0.000301403
1258,-26679.87159,44860021.38,1350000,0.000172,0.000932339
1259,-10870.51699,38735498.77,1350000,0.0001721,0.000828634
1260,-4562.601586,24236948.71,1350000,0.0001722,0.000582996
1261,-10910.26816,5611478.202,1350000,0.0001722,0.00026731
1262,-24310.77627,34738967.5,1350000,0.0001722,0.000760996
1263,-1764.481401,45508152.6,1350000,0.0001724,0.000943725
1264,-29674.69917,43055318.05,1350000,0.0001723,0.000902051
1265,-18492.558,10043536.87,1350000,0.0001724,0.000342629
1266,-24995.53259,16350586.54,1350000,0.0001724,0.000449529
1267,-7580.567754,31828237.99,1350000,0.0001726,0.000712062
1268,-14927.89695,28667627.58,1350000,0.0001726,0.000658492
1269,-23306.40928,41753742.34,1350000,0.0001726,0.000880291
1270,-31734.91938,17192782.58,1350000,0.0001726,0.000464003
1271,-21995.0649,23056530.61,1350000,0.0001727,0.000563489
1272,-11254.76818,12805468.7,1360000,0.0001728,0.000389842
1273,-22229.16513,27236115.15,1360000,0.0001728,0.000634429
1274,-24131.10664,8314676.777,1360000,0.0001728,0.000313727
1275,-9172.214668,22115325.07,1360000,0.0001729,0.000547736
1276,-12163.85478,37829063.28,1360000,0.000173,0.000814171
1277,-5634.562492,10812875.18,1360000,0.000173,0.000356269
1278,-16849.14387,45126434.94,1360000,0.000173,0.000937855
1279,-29128.0249,42107677.49,1360000,0.000173,0.000886689
1280,-18066.73192,37717528.68,1360000,0.0001731,0.00081238
1281,-17904.85925,37359671.64,1360000,0.0001732,0.000806415
1282,-26546.50551,34081784.88,1360000,0.0001732,0.000750857
1283,-30877.67173,2292704.021,1360000,0.0001732,0.000212059
1284,-22421.5921,26428449.36,1360000,0.0001733,0.00062124
1285,-27865.53384,6331427.31,1360000,0.0001733,0.000280612
1286,-16050.96629,7927809.509,1360000,0.0001734,0.00030777
1287,-11004.11419,18385828.03,1360000,0.0001735,0.000485124
1288,-22055.44104,16260952.98,1360000,0.0001735,0.000449109
1289,-27185.6262,12761462.62,1360000,0.0001735,0.000389796
1290,-11886.62285,2976875.791,1360000,0.0001736,0.000224056
1291,-3190.295951,26277913.78,1360000,0.0001737,0.000619088
1292,-11221.45943,2842121.183,1360000,0.0001737,0.000221872
1293,-9409.364353,41652739.36,1360000,0.0001738,0.000879779
1294,-5006.278196,31566593,1360000,0.0001738,0.000708827
1295,-10478.01501,23664884.52,1360000,0.0001738,0.0005749
1296,-878.1880504,43153102.78,1360000,0.0001739,0.000905309
1297,-11646.26705,47355673.73,1360000,0.0001739,0.000976539
1298,-18347.95334,33616308.54,1360000,0.0001739,0.000743668
1299,-30219.03974,434113.0948,1360000,0.0001739,0.000181258
1300,-25230.20063,19012370.1,1360000,0.000174,0.000496244
1301,-5983.111063,7065235.595,1360000,0.0001741,0.00029385
1302,-4529.966564,45802280.66,1360000,0.0001742,0.00095051
1303,-24928.21215,33595537.53,1360000,0.0001741,0.000743516
1304,-356.7862166,40992643.3,1360000,0.0001743,0.000869091
1305,-31163.60482,33285569.57,1360000,0.0001742,0.000738362
1306,-9534.789769,22451097.45,1360000,0.0001743,0.000554827
1307,-15824.36886,2407120.577,1360000,0.0001743,0.000215099
1308,-10471.99127,25625114.82,1360000,0.0001744,0.000608724
1309,-18690.51767,45164541.06,1360000,0.0001744,0.000939901
1310,-22298.31193,10961543.59,1360000,0.0001744,0.000360189
1311,-20796.26069,40924947.55,1370000,0.0001745,0.000868143
1312,-18900.30064,1853577.827,1370000,0.0001745,0.000205917
1313,-12425.44628,31661161.15,1370000,0.0001746,0.00071123
1314,-24376.48771,41945581.22,1370000,0.0001746,0.000885542
1315,-27347.1335,41264705.42,1370000,0.0001746,0.000874002
1316,-25573.96022,8372096.453,1370000,0.0001747,0.0003166
1317,-28627.36093,20319681.58,1370000,0.0001747,0.000519101
1318,-2699.371823,39250462.6,1370000,0.0001749,0.000840162
1319,-27810.9305,7546047.661,1370000,0.0001748,0.000302699
1320,-23236.65222,1604539.733,1370000,0.0001749,0.000202096
1321,-10968.66268,46260066.4,1370000,0.000175,0.000959069
1322,-10972.63831,46974225.96,1370000,0.000175,0.000971173
1323,-4803.437934,27426319.53,1370000,0.0001751,0.000639953
1324,-11304.61366,47458098.39,1370000,0.0001751,0.000979475
1325,-11166.08879,27712184.85,1370000,0.0001751,0.000644798
1326,-11853.43478,19670307.6,1370000,0.0001752,0.000508595
1327,-31123.90473,25383705.31,1370000,0.0001751,0.000605332
1328,-20753.29618,8554672.812,1370000,0.0001752,0.000320194
1329,-9995.9864,30004369.72,1370000,0.0001753,0.000683849
1330,-4789.721121,23435304.83,1370000,0.0001754,0.000572609
1331,-15244.55091,14712423.87,1370000,0.0001754,0.000424763
1332,-18848.59552,33328065.22,1370000,0.0001754,0.000740282
1333,-14001.35995,29615953.1,1370000,0.0001755,0.000677465
1334,-22884.33922,28680854.74,1370000,0.0001755,0.000661616
1335,-18817.86366,20804629.72,1370000,0.0001755,0.000528121
1336,-14639.61451,23974544.58,1370000,0.0001756,0.000581948
1337,-19770.9895,7257429.974,1370000,0.0001756,0.000298607
1338,-16824.30958,37581075.15,1370000,0.0001756,0.000812567
1339,-10460.93964,45110469.72,1370000,0.0001757,0.000940284
1340,-14066.07218,46785581.15,1370000,0.0001757,0.000968676
1341,-16058.5653,3111419.46,1370000,0.0001758,0.000228536
1342,-4336.066223,10259752.47,1370000,0.0001759,0.000349794
1343,-22509.30635,46603776.38,1370000,0.0001758,0.000965695
1344,-3106.704375,4530875.206,1370000,0.000176,0.000252794
1345,-13692.00632,17408073.15,1370000,0.0001759,0.000470952
1346,-27025.03167,14309386.81,1370000,0.0001759,0.000418432
1347,-22775.15897,18415497.79,1370000,0.000176,0.000488127
1348,-11627.40302,1076663.906,1370000,0.0001761,0.000194349
1349,-17228.76753,15449624.96,1370000,0.0001761,0.000437958
1350,-2258.969246,15585189.39,1370000,0.0001762,0.000440356
1351,-7221.472948,32500266.93,1370000,0.0001762,0.000727052
1352,-27748.38074,10507918.76,1370000,0.0001762,0.0003543
1353,-31786.07234,46565259.13,1370000,0.0001762,0.000965442
1354,-6307.554475,30088613.27,1380000,0.0001763,0.000686276
1355,-25223.62925,40092382.75,1380000,0.0001763,0.000855832
1356,-2795.466171,47778235.31,1380000,0.0001764,0.000986201
1357,-13496.02417,19105332.23,1380000,0.0001764,0.000500219
1358,-3336.656742,11082411.27,1380000,0.0001765,0.000364337
1359,-26539.60736,5119589.228,1380000,0.0001764,0.000263173
1360,-27534.21679,3375861.601,1380000,0.0001765,0.000233718
1361,-22714.61162,21796708.78,1380000,0.0001765,0.000545936
1362,-18486.86404,47767748.45,1380000,0.0001766,0.000986223
1363,-11346.87099,37352970.81,1380000,0.0001767,0.000809801
1364,-9525.408501,7878251.281,1380000,0.0001767,0.00031023
1365,-17988.34329,1361262.941,1380000,0.0001767,0.000199772
1366,-27247.89882,23278340.57,1380000,0.0001767,0.000571248
1367,-5955.225346,43862778.5,1380000,0.0001768,0.000920237
1368,-21485.56463,26922955.34,1380000,0.0001768,0.000633121
1369,-28556.1004,2676819.354,1380000,0.0001768,0.00022217
1370,-13759.80393,32076838.76,1380000,0.0001769,0.000720575
1371,-23681.37038,28434722.01,1380000,0.0001769,0.000658844
1372,-30593.17577,13718675.53,1380000,0.0001769,0.00040942
1373,-23583.62029,24297215.52,1380000,0.000177,0.000588817
1374,-29064.21719,26732757.26,1380000,0.000177,0.000630098
1375,-22836.62165,34547626.19,1380000,0.0001771,0.000762653
1376,-5697.214397,24361724.01,1380000,0.0001772,0.000590111
1377,-27543.92016,38119020,1380000,0.0001771,0.000823185
1378,-30132.89076,3873019.105,1380000,0.0001771,0.000242744
1379,-18673.56389,11668345.63,1380000,0.0001772,0.000374969
1380,-3422.834977,18330538.2,1380000,0.0001773,0.000487987
1381,-5612.018555,10051554.54,1380000,0.0001773,0.000347665
1382,-29639.84515,16608934.88,1380000,0.0001773,0.000458807
1383,-5475.26957,40120614.32,1380000,0.0001774,0.00085741
1384,-3107.95742,1737563.153,1380000,0.0001775,0.00020695
1385,-7053.312048,11049176.02,1380000,0.0001775,0.000364774
1386,-19181.90423,38815207.56,1380000,0.0001775,0.000835385
1387,-26763.00982,47517990.28,1380000,0.0001775,0.00098289
1388,-9225.089363,32679691.22,1380000,0.0001776,0.000731493
1389,-6592.788249,37555774.13,1380000,0.0001776,0.000814139
1390,-13562.43742,5970271.674,1380000,0.0001776,0.000278791
1391,-4247.510087,22673794.45,1380000,0.0001777,0.000562002
1392,-24684.09116,46843038.83,1380000,0.0001777,0.00097165
1393,-9939.566329,10880118.75,1380000,0.0001778,0.000362209
1394,-20084.84224,35904031.52,1380000,0.0001777,0.000786243
1395,-25887.36651,6626705.571,1380000,0.0001778,0.000290117
1396,-24282.01119,38314340.73,1380000,0.0001778,0.000827196
1397,-7307.031951,7246187.898,1380000,0.0001779,0.000300717
1398,-21825.38013,43215958.8,1380000,0.0001779,0.000910374
1399,-15083.02098,25281649.02,1380000,0.0001779,0.000606403
1400,-4162.081261,29816047.63,1380000,0.000178,0.000683357
1401,-19787.75313,957656.2452,1380000,0.000178,0.000194231
1402,-8822.011408,21454673.73,1390000,0.0001781,0.000541739
1403,-24798.90453,37436604.46,1380000,0.000178,0.000812519
1404,-1786.116824,3814944.023,1390000,0.0001782,0.00024286
1405,-6923.007632,36308188.37,1390000,0.0001782,0.000793593
1406,-5860.055351,24415335.4,1390000,0.0001782,0.000592019
1407,-3308.90666,36961014.13,1390000,0.0001783,0.000804758
1408,-20864.29211,25175342.29,1390000,0.0001782,0.000604901
1409,-28319.45551,37181944.68,1390000,0.0001782,0.000808402
1410,-21669.48028,45036826.78,1390000,0.0001783,0.000941636
1411,-11485.82547,28447844.84,1390000,0.0001784,0.000660567
1412,-3865.535884,23317212.63,1390000,0.0001784,0.000573607
1413,-22853.14611,36666743.39,1390000,0.0001784,0.00079987
1414,-58.6555143,30200988.25,1390000,0.0001785,0.000690381
1415,-20261.28503,25035343.51,1390000,0.0001785,0.000602828
1416,-3771.445889,34914710.97,1390000,0.0001786,0.000770375
1417,-27780.6356,46872752.36,1390000,0.0001785,0.000972953
1418,-13385.0723,1372715.951,1390000,0.0001786,0.000201866
1419,-18519.78224,21844340.76,1390000,0.0001786,0.000548843
1420,-23906.63347,7913661.258,1390000,0.0001786,0.00031273
1421,-14255.56239,34307735.69,1390000,0.0001787,0.000760187
1422,-22951.4427,13497922.58,1390000,0.0001787,0.000407478
1423,-24509.37981,38739136.92,1390000,0.0001787,0.000835296
1424,-8517.425533,19282959.86,1390000,0.0001788,0.00050563
1425,-12411.93391,795508.007,1390000,0.0001788,0.000192283
1426,-15731.76881,7419058.222,1390000,0.0001788,0.000304547
1427,-19718.43928,14464325.76,1390000,0.0001789,0.000424058
1428,-1301.210852,6509044.222,1390000,0.000179,0.000289323
1429,-11961.03967,15057521.26,1390000,0.000179,0.000434212
1430,-11668.79053,18495234.14,1390000,0.000179,0.000492479
1431,-31880.70545,13314756.7,1390000,0.0001789,0.000404574
1432,-745.4213146,17861707.06,1390000,0.0001791,0.000481841
1433,-4139.39586,20905780.6,1390000,0.0001791,0.000533435
1434,-30358.62796,31737344.87,1390000,0.000179,0.000716921
1435,-6863.242005,5695579.613,1390000,0.0001792,0.000275735
1436,-27745.42523,42773721.03,1390000,0.0001791,0.000904078
1437,-11542.67735,13663235.52,1390000,0.0001792,0.00041078
1438,-19076.09315,22466300.99,1390000,0.0001792,0.000559985
1439,-29247.20144,6688501.42,1390000,0.0001792,0.000292564
1440,-25376.3794,23914823.91,1390000,0.0001793,0.000584636
1441,-5595.884409,16414743.71,1390000,0.0001794,0.000457616
1442,-16127.86237,27286195.73,1390000,0.0001794,0.000641878
1443,-8187.959692,23350572.33,1390000,0.0001794,0.000575172
1444,-12381.44362,41830165.82,1390000,0.0001794,0.000888386
1445,-28498.13531,3035682.973,1390000,0.0001794,0.000230852
1446,-14235.23628,30843286.58,1390000,0.0001795,0.000702268
1447,-9571.26465,21938115.4,1390000,0.0001795,0.000551332
1448,-5386.907181,24816732.14,1390000,0.0001796,0.000600223
1449,-29460.62121,29235347.69,1390000,0.0001795,0.000675014
1450,-23160.24127,34398851.8,1390000,0.0001796,0.000762631
1451,-154.6746874,4497726.304,1390000,0.0001797,0.000255933
1452,-2032.509881,19696913.56,1390000,0.0001797,0.000513546
1453,-18473.3138,24795944.81,1390000,0.0001797,0.00059997
1454,-4757.347158,3992744.515,1390000,0.0001798,0.000247474
1455,-7847.396572,26913890.22,1390000,0.0001798,0.000635968
1456,-22785.67191,40355359,1390000,0.0001798,0.000863789
1457,-4832.298458,3946232.984,1390000,0.0001799,0.000246785
1458,-6604.842386,42929568.62,1390000,0.0001799,0.00090752
1459,-5603.885108,30103665.59,1400000,0.0001799,0.000690132
1460,-4209.932984,42086680.41,1400000,0.0001799,0.000893234
1461,-16146.53879,1564779.982,1400000,0.0001799,0.000206422
1462,-30872.67698,18924470.52,1400000,0.0001799,0.000500654
1463,-17386.54488,28024177.07,1400000,0.00018,0.000654986
1464,-9989.435755,5032793.284,1400000,0.00018,0.000265302
1465,-18993.98983,45561719.89,1400000,0.00018,0.000952233
1466,-30805.11099,14683390.64,1400000,0.00018,0.000428871
1467,-7453.845896,19366038.5,1400000,0.0001801,0.000508338
1468,-6316.781319,26939947.91,1400000,0.0001802,0.000636809
1469,-23348.47557,26984416.11,1400000,0.0001801,0.000637463
1470,-24383.04181,46739193.8,1400000,0.0001802,0.00097239
1471,-3760.390858,38840647.8,1400000,0.0001803,0.000838616
1472,-11418.28833,32675611.94,1400000,0.0001803,0.000734124
1473,-6105.886378,36567438.16,1400000,0.0001803,0.000800087
1474,-14392.12334,44124953.6,1400000,0.0001803,0.000928181
1475,-11249.01854,38274960.78,1400000,0.0001804,0.000829128
1476,-26182.16975,44090945.52,1400000,0.0001803,0.000927604
1477,-19158.32491,5147564.61,1400000,0.0001804,0.000267647
1478,-16001.77073,38558050.08,1400000,0.0001804,0.000833926
1479,-29278.3556,351416.9421,1400000,0.0001804,0.000186356
1480,-18026.96186,29122521.6,1400000,0.0001805,0.000674102
1481,-14590.83635,7101520.556,1400000,0.0001805,0.000300865
1482,-11452.92391,27747112.04,1400000,0.0001805,0.00065079
1483,-22624.94144,27402334.87,1400000,0.0001805,0.000644946
1484,-9889.154097,33687362.46,1400000,0.0001806,0.000751572
1485,-27927.3852,6668589.495,1400000,0.0001806,0.000293627
1486,-15151.56014,32346528.64,1400000,0.0001806,0.000728846
1487,-5108.265739,28283062.19,1400000,0.0001807,0.000660074
1488,-22919.90438,2831978.094,1400000,0.0001807,0.0002287
1489,-14152.43961,43300121.51,1400000,0.0001807,0.0009146
1490,-7225.444306,14572615.56,1400000,0.0001808,0.000427793
1491,-7886.329414,32527912.69,1400000,0.0001808,0.000732121
1492,-14228.99578,5824717.109,1400000,0.0001808,0.000279524
1493,-25957.68375,34500804.04,1400000,0.0001808,0.000765559
1494,-19045.94159,20478539.41,1400000,0.0001809,0.000527994
1495,-19858.72325,43980026.72,1400000,0.0001809,0.000926324
1496,-11333.47847,24679419.67,1400000,0.0001809,0.000599195
1497,-17960.2398,1595950.376,1400000,0.0001809,0.00020795
1498,-20893.87114,5395368.472,1400000,0.000181,0.000272447
1499,-16312.24945,43564859.65,1400000,0.000181,0.000919387
1500,-7503.019755,39808314.04,1400000,0.0001811,0.000855817
1501,-24218.82971,18237905.96,1400000,0.000181,0.000490117
1502,-15765.31124,59151.09418,1400000,0.0001811,0.000182103
1503,-1246.571771,1262545.779,1400000,0.0001812,0.000202599
1504,-5966.728996,17884586.48,1400000,0.0001812,0.000484329
1505,-6336.387347,37513472.93,1400000,0.0001812,0.000817022
1506,-8217.823965,27456844.92,1400000,0.0001812,0.00064657
1507,-5659.115631,45260865.33,1400000,0.0001812,0.000948333
1508,-8246.269673,7584751.214,1400000,0.0001813,0.000309855
1509,-2074.951596,1536739.06,1400000,0.0001813,0.000207346
1510,-31322.62333,13400083.14,1400000,0.0001812,0.00040832
1511,-21974.07982,46576139.81,1400000,0.0001813,0.000970726
1512,-208.4073693,17727135.43,1400000,0.0001814,0.00048186
1513,-24577.89153,3266026.984,1400000,0.0001813,0.000236656
1514,-8421.104928,18408274.86,1400000,0.0001814,0.000493405
1515,-13574.45917,12231094.87,1400000,0.0001814,0.000388707
1516,-5441.497485,9976850.623,1400000,0.0001815,0.000350599
1517,-14768.0188,7270776.203,1400000,0.0001815,0.000304733
1518,-14533.33114,16325443.19,1400000,0.0001815,0.000458202
1519,-1025.550837,700007.7774,1400000,0.0001816,0.000193465
1520,-6912.211789,20162805.8,1400000,0.0001816,0.000523342
1521,-8087.524472,8822570.894,1400000,0.0001816,0.000331135
1522,-27624.69295,27932486.02,1400000,0.0001816,0.000655032
1523,-22325.58604,3626199.093,1400000,0.0001816,0.000243061
1524,-82.00342105,12639388.63,1410000,0.0001817,0.000395927
1525,-17798.44459,24577880.93,1410000,0.0001817,0.000598274
1526,-10449.18895,1241664.963,1410000,0.0001817,0.000202745
1527,-16538.30504,37238473.41,1410000,0.0001817,0.000812861
1528,-10384.7674,20875839.09,1410000,0.0001818,0.000535628
1529,-15438.25055,40718960.55,1410000,0.0001818,0.000871952
1530,-17933.77178,19286980.95,1410000,0.0001818,0.000508698
1531,-766.1205379,8402218.899,1410000,0.0001819,0.00032431
1532,-19509.58288,21375398.71,1410000,0.0001818,0.000544095
1533,-12298.4412,8599323.648,1410000,0.0001819,0.000327651
1534,-29281.12913,39274062.27,1410000,0.0001819,0.000847562
1535,-6556.484826,10934975.65,1410000,0.0001819,0.000367239
1536,-25784.91142,27268318.07,1410000,0.0001819,0.000644075
1537,-2200.159982,22640923.16,1410000,0.000182,0.000565744
1538,-15614.49232,31299472.45,1410000,0.000182,0.0007125
1539,-25858.26869,35466411.76,1410000,0.000182,0.000783126
1540,-2924.208598,42409238.43,1410000,0.0001821,0.000900901
1541,-29541.2657,41622134.69,1410000,0.000182,0.00088746
1542,-26817.06957,36299694.28,1410000,0.0001821,0.000797349
1543,-15881.99696,29678099.22,1410000,0.0001821,0.000685119
1544,-181.5131248,20393566.88,1410000,0.0001822,0.000527854
1545,-14348.41694,8450506.054,1410000,0.0001822,0.000325429
1546,-22424.97508,5137982.188,1410000,0.0001822,0.000269284
1547,-23278.26347,16715461.86,1410000,0.0001822,0.000465513
1548,-15422.28783,33047972.81,1410000,0.0001822,0.000742335
1549,-13416.62759,37703008.6,1410000,0.0001823,0.000821334
1550,-26018.93993,39985709.58,1410000,0.0001823,0.000860024
1551,-23377.99704,18064220.09,1410000,0.0001823,0.000488473
1552,-2218.530632,13420618.99,1410000,0.0001824,0.000409868
1553,-100.2172291,46090091.09,1410000,0.0001824,0.000963588
1554,-5735.465894,35346260.74,1410000,0.0001824,0.000781489
1555,-21239.35406,14830274.33,1410000,0.0001824,0.000433761
1556,-735.845074,13324550.59,1410000,0.0001825,0.00040834
1557,-14553.99046,38980385.75,1410000,0.0001824,0.000843085
1558,-28071.60944,8112206.07,1410000,0.0001824,0.000319895
1559,-17172.25543,3202697.277,1410000,0.0001825,0.000236783
1560,-789.29813,43288660.86,1410000,0.0001826,0.000916306
1561,-21542.79297,47202781.28,1410000,0.0001825,0.000982547
1562,-3677.344625,30283961.42,1410000,0.0001826,0.000695887
1563,-11293.82891,5692606.476,1410000,0.0001826,0.000279085
1564,-20160.54953,42547453.82,1410000,0.0001826,0.000903743
1565,-6215.642281,19195285.5,1410000,0.0001827,0.000508044
1566,-15787.66957,37521056.15,1410000,0.0001826,0.00081855
1567,-29538.97968,45220711.21,1410000,0.0001826,0.000949053
1568,-15427.13573,24374374.69,1410000,0.0001827,0.000595825
1569,-3117.678909,6591289.852,1410000,0.0001828,0.000294517
1570,-31445.91092,23491414.49,1410000,0.0001827,0.00058086
1571,-25100.92538,40101425.5,1410000,0.0001827,0.000862385
1572,-16701.68405,13185780.71,1410000,0.0001828,0.000406288
1573,-11816.9122,37454898.09,1410000,0.0001828,0.000817629
1574,-25820.33471,15386454.76,1410000,0.0001828,0.000443587
1575,-1221.730088,31254404.44,1410000,0.0001829,0.000712636
1576,-6772.427389,14196665.7,1410000,0.0001829,0.000423521
1577,-22665.57896,6472123.358,1410000,0.0001829,0.000292597
1578,-10985.30892,30350464.38,1410000,0.0001829,0.000697315
1579,-21915.28408,40552503.7,1410000,0.0001829,0.000870231
1580,-18208.29703,32302378.11,1410000,0.000183,0.000730498
1581,-22668.15841,503974.049,1410000,0.000183,0.000191542
1582,-29202.72677,13221051.05,1410000,0.000183,0.000407086
1583,-25157.20709,29970977.8,1410000,0.000183,0.000690983
1584,-31100.40948,18948647.75,1410000,0.000183,0.000504164
1585,-27811.15417,2376206.628,1410000,0.000183,0.000223275
1586,-8456.234745,13894136.25,1410000,0.0001831,0.000418594
1587,-21836.85116,28706280.8,1410000,0.0001831,0.000669647
1588,-25639.06015,35725865.88,1410000,0.0001831,0.000788623
1589,-4049.823819,26748759.17,1410000,0.0001832,0.000636569
1590,-27789.53568,17059594.69,1410000,0.0001831,0.000472246
1591,-19732.9399,37173018.53,1410000,0.0001832,0.000813251
1592,-13500.65763,11987116.08,1410000,0.0001832,0.000386371
1593,-28138.74241,13956657.85,1410000,0.0001832,0.000419754
1594,-19614.48369,39527041.69,1410000,0.0001832,0.00085315
1595,-2007.009699,4754231.068,1410000,0.0001833,0.00026388
1596,-2779.831702,46415445.3,1410000,0.0001833,0.000970002
1597,-30795.05511,39492592.96,1410000,0.0001833,0.000852666
1598,-18785.26111,46612393.6,1410000,0.0001833,0.000973341
1599,-25803.49231,44802467.97,1410000,0.0001833,0.000942664
1600,-7180.719347,25198088.77,1410000,0.0001834,0.000610486
1601,-3452.725527,8343541.922,1410000,0.0001834,0.000324816
1602,-12201.30983,12475512.28,1410000,0.0001834,0.000394849
1603,-18118.29035,39604046.26,1410000,0.0001834,0.000854655
1604,-13009.05016,2305708.467,1410000,0.0001835,0.00022258
1605,-22234.52527,42998309.89,1410000,0.0001835,0.000912285
1606,-15477.35629,11119456.61,1420000,0.0001835,0.000371965
1607,-12117.1362,24748523.69,1420000,0.0001835,0.000602967
1608,-3145.647755,39636731.84,1420000,0.0001836,0.000855409
1609,-20376.43195,538650.3158,1420000,0.0001836,0.00019273
1610,-18089.22286,16397506.84,1420000,0.0001836,0.000461524
1611,-12988.9891,41249907.27,1420000,0.0001836,0.000882751
1612,-10299.62156,9844865.532,1420000,0.0001836,0.000350462
1613,-30047.78629,17926747.94,1420000,0.0001836,0.000487443
1614,-7699.797263,22041674.17,1420000,0.0001837,0.000557288
1615,-29069.9907,5874954.193,1420000,0.0001837,0.000283275
1616,-18977.34983,34479141.24,1420000,0.0001837,0.000768092
1617,-4010.049397,47628750.88,1420000,0.0001837,0.000990967
1618,-1871.47416,36166771.52,1420000,0.0001838,0.000796796
1619,-12730.77116,3309149.71,1420000,0.0001838,0.000239887
1620,-30915.95198,33705768.66,1420000,0.0001837,0.000754984
1621,-8636.336316,24245894.5,1420000,0.0001838,0.000594747
1622,-7690.586395,23289789.08,1420000,0.0001838,0.000578542
1623,-10196.6829,34631938.32,1420000,0.0001838,0.000770782
1624,-607.2466585,39010868.43,1420000,0.0001839,0.000845101
1625,-11939.90578,800783.0221,1420000,0.0001839,0.000197473
1626,-10756.46197,4164712.69,1420000,0.0001839,0.000254488
